Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.304176330566406,59.45050048828125,53.22063446044922,78.87036895751953,21.368667602539062,40.313537247208004,59.5,53.357999362017694,79.20071662443635,21.474000930786133,39.60225752847971,58.5255012512207,52.21941091232708,78.4574378743574,20.733333587646484,39.81283531119191,58.599998474121094,52.21941091232708,79.03554279097794,20.799999237060547,102223600,53890000,31766000,22483800,65283000
2018-01-03,40.297149658203125,60.209999084472656,54.128623962402344,79.23741149902344,21.149999618530273,40.839968474154716,60.27450180053711,54.3557468698066,79.38423577510852,21.683332443237305,40.23397954869898,59.415000915527344,53.23153936524892,78.88871434477157,21.036666870117188,40.36734223890624,59.415000915527344,53.25633216250734,78.97129774934433,21.399999618530273,118071600,62176000,31318000,26061400,67822500
2018-01-04,40.48432922363281,60.47949981689453,54.338890075683594,79.934814453125,20.974666595458984,40.587277867352185,60.79349899291992,54.7514804041107,80.43951416134298,21.23666763305664,40.262055690225814,60.233001708984375,54.26450789235017,79.43929301259287,20.3786678314209,40.36968122128297,60.25,54.40484656612366,79.45764254699763,20.857999801635742,89738400,60442000,26052000,21912000,149194500
2018-01-05,40.94526290893555,61.457000732421875,55.0594367980957,80.92584228515625,21.10533332824707,41.031831750925626,61.457000732421875,55.22258954087465,81.12772213090172,21.14933204650879,40.48901640769327,60.5,54.638416989259554,80.2284410910262,20.799999237060547,40.58026570794173,60.8754997253418,54.720241175148296,80.43949920275072,21.107999801635742,94640000,70894000,30250000,23407100,68868000
2018-01-08,40.79317092895508,62.34349822998047,55.25382614135742,81.00845336914062,22.42733383178711,41.0879754571315,62.65399932861328,55.49929868498433,81.283745434897,22.468000411987305,40.69489918275364,61.60150146484375,55.04505284208835,80.38446408759849,21.03333282470703,40.79317092895508,61.79999923706055,55.094642223098475,80.93504121814318,21.066667556762695,82271200,85590000,24644000,22113000,147891000
2018-01-09,40.78850555419922,62.6349983215332,55.18340301513672,80.95337677001953,22.246000289916992,40.959304811209066,62.96649932861328,55.46358847346012,81.42137036009547,22.586666107177734,40.57325086464644,62.0880012512207,54.95578448937712,80.62302917713843,21.82666778564453,40.839979889760095,62.845001220703125,55.46358847346012,81.34795822812939,22.3439998626709,86336000,73226000,26808000,19484300,107199000
2018-01-10,40.779144287109375,62.71649932861328,55.0519905090332,80.58633422851562,22.31999969482422,40.78148630152458,62.71649932861328,55.18290843057705,80.92586013497365,22.46666717529297,40.47732074949381,61.86149978637695,54.74651661990654,80.21010925197795,22.0,40.51475727869783,62.25749969482422,54.89627600748767,80.62304029956249,22.14666748046875,95839600,53720000,20734000,18652200,64648500
2018-01-11,41.010780334472656,63.83399963378906,55.14672088623047,80.82492065429688,22.530000686645508,41.05991622716522,63.8385009765625,55.28557268494568,80.87079799264367,22.987333297729492,40.825943266073914,62.823001861572266,54.870504175908906,80.0541071598178,22.21733283996582,40.84933842009661,62.98699951171875,55.15961480802942,80.87079799264367,22.349332809448242,74670800,62500000,22424000,17808900,99682500
2018-01-12,41.43427276611328,65.26000213623047,56.069091796875,82.21971893310547,22.4146671295166,41.49744646821115,65.28800201416016,56.10132281445176,82.3848927584566,22.694000244140625,41.09735111511696,63.669498443603516,54.94637108166763,81.16444210452701,22.244667053222656,41.22135650469974,63.669498443603516,55.05001429043601,81.36632200228588,22.575332641601562,101672400,108874000,38586000,24271500,72376500
2018-01-16,41.223697662353516,65.24299621582031,56.07156753540039,81.0726547241211,22.67066764831543,41.972410443367636,66.99700164794922,56.97311661601301,83.3116754244563,23.0,41.21199829996464,64.61499786376953,55.87122371564505,80.76066370900698,22.31999969482422,41.62378943698637,66.1500015258789,56.54812802368967,82.67850812782851,22.502666473388672,118263600,144414000,36462000,36599700,97114500
2018-01-17,41.9045524597168,64.75,56.488121032714844,82.71521759033203,23.143999099731445,41.939646970546875,65.69999694824219,56.49902865220567,82.84368530783475,23.266666412353516,40.961641853884466,64.04399871826172,55.71401677385196,81.43971168015113,22.649999618530273,41.21432947214807,65.61199951171875,56.352243042290404,81.7425314432499,22.697999954223633,137547200,105076000,27830000,25621200,106552500
2018-01-18,41.94198989868164,64.66600036621094,56.332908630371094,82.67854309082031,22.971332550048828,42.13852989077325,65.2300033569336,56.5620140670971,83.20159242631853,23.48666763305664,41.7056785034929,64.20099639892578,55.762125662718006,82.27479025352037,22.916000366210938,41.967727066089836,64.69750213623047,56.50052202410961,82.403258020066,23.044666290283203,124773600,80538000,27498000,24159700,85287000
2018-01-19,41.75480651855469,64.72899627685547,56.706321716308594,82.58676147460938,23.334667205810547,42.01685503172588,65.6500015258789,56.720206894332954,83.14651675134795,23.37266731262207,41.509134252385074,64.64949798583984,56.16083095816857,82.2747704028359,22.84000015258789,41.78990102651753,65.5999984741211,56.43506511586326,82.71522921015922,23.0,129700400,91570000,30552000,36875000,73324500
2018-01-22,41.413204193115234,66.3655014038086,57.73085403442383,84.06414794921875,23.437332153320312,41.59570277343954,66.37249755859375,57.86574078088286,84.0733262163761,23.85533332824707,41.319616459154176,64.83300018310547,56.62300979947485,82.3481760410562,23.280000686645508,41.48339677865763,64.8584976196289,56.722192343467434,82.58676198038127,23.293333053588867,108434400,82802000,29550000,23601600,93156000
2018-01-23,41.42255783081055,68.12699890136719,58.32643127441406,84.33026123046875,23.519332885742188,41.98409489474454,68.24500274658203,58.44247277294646,84.69731490413442,24.03333282470703,41.371087080839246,66.86699676513672,57.884088088915895,83.99991362426631,23.399999618530273,41.48339306556889,66.90450286865234,58.05120585591647,84.33026123046875,24.0,130756400,103386000,39138000,23412800,81981000
2018-01-24,40.76275634765625,67.87550354003906,58.08443069458008,84.25684356689453,23.05933380126953,41.48339326253361,69.40799713134766,58.86597325427586,85.73422943075708,23.649999618530273,40.524103005097594,66.9000015258789,57.89152509119523,84.03661417753244,22.90133285522461,41.47169390424431,68.74099731445312,58.763321307092504,84.92671700245205,23.6386661529541,204420400,136150000,37128000,33277500,79312500
2018-01-25,40.035118103027344,68.89749908447266,58.62248992919922,84.7248764038086,22.50933265686035,40.93357351974331,68.91699981689453,58.76431928139871,85.55991701759302,23.280000686645508,39.899413341625795,67.88099670410156,58.11171206315658,84.35782258414727,22.426666259765625,40.83062483384252,68.4000015258789,58.551577144813294,84.85334419054466,23.218000411987305,166116000,95060000,29984000,26383200,101104500
2018-01-26,40.12868881225586,70.10250091552734,58.89126968383789,86.31232452392578,22.856666564941406,40.243336812846245,70.12650299072266,58.89126968383789,86.31232452392578,22.933332443237305,39.78942883803662,69.04550170898438,57.92277650359541,84.95423527403186,22.380666732788086,40.243336812846245,69.60050201416016,58.88978279674056,85.44975659525217,22.766666412353516,156572000,97146000,42170000,29172200,68091000
2018-01-29,39.298095703125,70.88400268554688,58.83770751953125,86.18389129638672,23.302000045776367,39.81283544569889,71.56950378417969,59.408986114209235,87.5878654344753,23.389999389648438,39.089859933941504,70.02200317382812,58.71769720777798,86.00036791922578,22.552000045776367,39.81283544569889,70.45899963378906,58.913084740245644,87.30340209958543,22.656667709350586,202561600,114038000,31494000,31569900,71206500
2018-01-30,39.06644821166992,71.89099884033203,58.38594436645508,85.10106658935547,23.05466651916504,39.16003592639561,71.9625015258789,58.90961613703098,85.94529212861116,23.218000411987305,38.53532882673834,69.5999984741211,58.244115018829305,84.51378351915717,22.81133270263672,38.72952672642949,70.15850067138672,58.4033027319393,85.6149445265038,23.00933265686035,184192800,117438000,37338000,38635100,70765500
2018-01-31,39.17408752441406,72.54450225830078,58.62644958496094,87.18408966064453,23.62066650390625,39.41040247806591,73.62899780273438,58.82977095493848,87.54196505260539,23.746000289916992,38.95649440447249,72.50199890136719,58.124596903147186,85.80764369126697,23.012666702270508,39.04306324959199,72.56500244140625,58.70529620480337,86.02787308609685,23.167333602905273,129915600,128494000,36022000,48756300,93211500
2018-02-01,39.2559814453125,69.5,58.595211029052734,86.49588012695312,23.28333282470703,39.452517867378766,72.99400329589844,58.8858123025016,88.15678961464799,23.977333068847656,39.01732803557838,69.25700378417969,57.98872383699025,85.87189091042659,23.242000579833984,39.11325780235259,72.25,58.31750745953423,86.98222332494329,23.399999618530273,188923200,182276000,73514000,47227900,62965500
2018-02-02,37.55265426635742,71.49749755859375,55.501277923583984,84.22014617919922,22.916667938232422,39.026684400187065,74.9000015258789,56.10131810025755,86.22975969195994,23.463333129882812,37.45906652490365,70.69999694824219,55.10306844525168,83.9632106983099,22.700666427612305,38.839505347136026,73.86949920654297,55.90890813522095,85.92693987478319,23.229333877563477,346375200,222514000,117842000,47867800,55572000
2018-02-05,36.614410400390625,69.5,52.68406677246094,80.75151824951172,22.208667755126953,38.34346951607353,72.9489974975586,55.29250913268484,85.5599021486434,22.96466636657715,36.499762425469704,66.03600311279297,52.403885060973224,80.75151824951172,22.200000762939453,37.22507964531474,70.13099670410156,54.579401181234864,83.10065108555136,22.531333923339844,290954000,229900000,83550000,51031500,66961500
2018-02-06,38.14461135864258,72.14199829101562,53.777034759521484,83.80721282958984,22.264667510986328,38.30605327216174,72.19950103759766,53.92332476135925,83.94485883366363,22.4146671295166,36.03183581681367,67.5895004272461,51.07833873275728,78.22801653873599,21.566667556762695,36.226033801905984,68.072998046875,51.275213158237804,79.73293031441851,21.680667877197266,272975200,221336000,76630000,67998600,76326000
2018-02-07,37.32803726196289,70.83899688720703,52.33793258666992,82.2288818359375,23.0,38.231172856032934,73.04949951171875,53.881177582348684,84.21096036880702,23.066667556762695,37.218073276522176,70.75749969482422,52.29875519358381,81.8526499147874,22.37733268737793,38.15864182365693,72.44999694824219,53.803817837642576,83.03639427511158,22.599332809448242,206434400,143254000,51942000,41107600,104538000
2018-02-08,36.30089569091797,67.5250015258789,49.97248077392578,78.0078125,21.01533317565918,37.66963864747033,71.6875,52.7604354198397,82.4766709452531,23.2413330078125,36.272820084061365,67.49700164794922,49.823213214703266,77.77840475226523,20.97333335876465,37.503516309901045,71.48400115966797,52.55910033343243,82.32067535702599,22.887332916259766,217562000,171572000,66792000,55628700,154719000
2018-02-09,36.744911193847656,66.9800033569336,51.88467025756836,80.91666412353516,20.69466781616211,37.09260194445449,69.17500305175781,52.15493558662901,81.60488705257374,21.398666381835938,35.295412891463684,63.29650115966797,49.44136332550892,76.9249725353045,19.650667190551758,36.89996378245455,68.67449951171875,50.87352667351269,79.19152116842608,21.32866668701172,282690400,282830000,98360000,63499100,194005500
2018-02-12,38.22494125366211,69.3115005493164,52.295780181884766,81.78841400146484,21.048667907714844,38.5021531573578,69.69049835205078,52.841766609935185,82.38487529999955,21.205333709716797,37.003319024356685,67.20050048828125,51.84599874927794,80.68726006645154,20.416667938232422,37.235897847142596,68.2334976196289,52.40041465388367,81.43053862253723,21.075332641601562,243278000,134778000,56240000,35720300,93417000
2018-02-13,38.607879638671875,70.72550201416016,52.27495574951172,82.43077087402344,21.577333450317383,38.70420051241455,70.98600006103516,52.62605406404471,82.58676641924995,21.612667083740234,37.975925806374015,69.17649841308594,51.91691484500289,80.56798159605506,20.833999633789062,38.0464045819101,69.29650115966797,52.069651824471386,81.60490180963755,21.001333236694336,130196800,118358000,31586000,26407700,68403000
2018-02-14,39.319705963134766,72.55249786376953,53.19533920288086,83.72150421142578,21.487333297729492,39.359643097700136,72.60299682617188,53.33270409658668,83.88745396049508,21.744667053222656,38.264886694786455,70.16799926757812,52.05972837561951,81.50885026897562,21.23466682434082,38.30247226663081,70.3125,52.28387374049977,81.60104301093514,21.389333724975586,162579600,119184000,41304000,34960900,59260500
2018-02-15,40.63999938964844,73.08799743652344,54.12070083618164,85.42708587646484,22.271333694458008,40.66348992516853,73.4469985961914,54.25657886107271,85.48240010469493,22.274667739868164,39.70263991420008,71.84200286865234,52.924089651727876,83.5463247442474,21.49333381652832,39.88823055901645,73.34449768066406,53.72844261196111,84.09026674545404,21.633333206176758,204588800,113054000,37396000,27823900,88693500
2018-02-16,40.50844955444336,72.43450164794922,54.32600021362305,84.818603515625,22.365999221801758,41.06992836864625,73.29000091552734,54.96124903312961,86.20151552946672,22.874666213989258,40.35340050220169,72.3280029296875,54.130117040712896,84.63421806065448,22.109333038330078,40.492006533089175,72.86849975585938,54.22086633158134,85.23347430623582,22.166667938232422,160704400,89452000,39948000,30596900,84639000
2018-02-20,40.37218475341797,73.4175033569336,54.72718048095703,85.4823989868164,22.31800079345703,40.938355795703735,74.4384994506836,55.35697356321542,85.79585565449312,22.722667694091797,40.271164333497524,72.32450103759766,54.053249936484505,83.90588019818914,22.100000381469727,40.419169411304395,72.32450103759766,54.19011920041888,84.33919373726903,22.29800033569336,135722000,129984000,33754000,30911700,60141000
2018-02-21,40.18893814086914,74.14600372314453,55.23101806640625,84.34840393066406,22.219999313354492,40.90546216900995,75.17449951171875,56.3443180642119,86.07243661951622,22.645999908447266,40.17483951865487,73.94599914550781,54.92157532240857,84.34840393066406,22.211332321166992,40.6024081083395,74.25,55.000425732948564,85.72210147280906,22.402000427246094,149886400,126088000,41486000,26922500,48294000
2018-02-22,40.52487564086914,74.26699829101562,55.04010009765625,84.56967163085938,23.077999114990234,40.86551880612801,75.12699890136719,55.811722621872775,85.4916128554965,23.16266632080078,40.33928503404216,73.78800201416016,54.80454766892345,84.22855084555644,22.316667556762695,40.36042758709232,74.76799774169922,55.49980170386178,84.86469254138912,22.368667602539062,123967600,97162000,28010000,24392800,104547000
2018-02-23,41.22966384887695,75.0,55.942138671875,86.71778106689453,23.469999313354492,41.264901443927855,75.0,55.987267393103004,86.72700244774025,23.666000366210938,40.76920562691521,74.32499694824219,54.96769426169726,85.15048394805056,23.139999389648438,40.799747265758924,74.76699829101562,55.474503270089066,86.2936889880762,23.18866729736328,135249600,88362000,25292000,26329200,87261000
2018-02-26,42.04487228393555,76.09750366210938,56.71623992919922,87.97163391113281,23.827999114990234,42.14354116281104,76.14199829101562,56.74103272715342,87.99929102369545,23.933332443237305,41.39647525788213,75.3499984741211,56.004123275614624,86.89296431806788,23.49066734313965,41.42936488417396,75.45999908447266,56.12908987357392,87.03125691473474,23.566667556762695,152648800,99100000,30912000,30199800,65100000
