Date,AAPL_Close,AAPL_Daily_Return,AAPL_Moving_Avg_30,AAPL_Volatility,MSFT_Close,MSFT_Daily_Return,MSFT_Moving_Avg_30,MSFT_Volatility,GOOGL_Close,GOOGL_Daily_Return,GOOGL_Moving_Avg_30,GOOGL_Volatility,AMZN_Close,AMZN_Daily_Return,AMZN_Moving_Avg_30,AMZN_Volatility,TSLA_Close,TSLA_Daily_Return,TSLA_Moving_Avg_30,TSLA_Volatility,Portfolio_Daily_Return
Ticker,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.304176330566406,,,,59.45050048828125,,,,53.22063446044922,,,,78.87036895751953,,,,21.368667602539062,,,,
2018-01-03,40.297149658203125,-0.0001743410485715,,,60.209999084472656,0.0127753103834864,,,54.12862396240234,0.0170608545192727,,,79.23741149902344,0.004653744446176,,,21.14999961853028,-0.0102331127085716,,,0.004575086843621026
2018-01-04,40.48432922363281,0.0046449827597565,,,60.47949981689453,0.0044760128968575,,,54.3388900756836,0.0038845641712104,,,79.934814453125,0.0088014353435832,,,20.974666595458984,-0.0082899775997006,,,0.002495580885150064
2018-01-05,40.94526290893555,0.0113854840661078,,,61.45700073242188,0.0161625165301761,,,55.0594367980957,0.0132602399756145,,,80.92584228515625,0.0123979499897681,,,21.10533332824707,0.0062297406346556,,,0.011836562943081405
2018-01-08,40.79317092895508,-0.0037145195603879,,,62.34349822998047,0.0144246788322508,,,55.25382614135742,0.0035305363542774,,,81.00845336914062,0.0010208245184928,,,22.42733383178711,0.0626382195902441,,,0.015343180743031405
2018-01-09,40.78850555419922,-0.0001143665630697,,,62.6349983215332,0.0046757095740346,,,55.18340301513672,-0.0012745384553195,,,80.95337677001953,-0.0006798870590717,,,22.246000289916992,-0.0080853811349214,,,-0.0010674167028694398
2018-01-10,40.779144287109375,-0.0002295074791942,,,62.71649932861328,0.00130120554425,,,55.0519905090332,-0.0023813773512204,,,80.58633422851562,-0.0045339991504818,,,22.31999969482422,0.0033264139145394,,,-0.00028822832085701995
2018-01-11,41.010780334472656,0.0056802576761401,,,63.83399963378906,0.0178182825434891,,,55.14672088623047,0.0017207439062847,,,80.82492065429688,0.0029606313286902,,,22.530000686645508,0.0094086467156173,,,0.007653693751416775
2018-01-12,41.43427276611328,0.0103263685349739,,,65.26000213623047,0.0223392316104626,,,56.069091796875,0.0167257616739791,,,82.21971893310547,0.0172570324538194,,,22.4146671295166,-0.0051191102358585,,,0.011959323611533026
2018-01-16,41.22369766235352,-0.0050821479345952,,,65.24299621582031,-0.0002605871874575,,,56.07156753540039,4.4155138705592734e-05,,,81.0726547241211,-0.0139512056702314,,,22.67066764831543,0.0114211162414148,,,-0.0011222809956509317
2018-01-17,41.9045524597168,0.0165161020474164,,,64.75,-0.0075563086371678,,,56.48812103271485,0.0074289611584601,,,82.71521759033203,0.0202603809114225,,,23.143999099731445,0.020878584555104,,,0.011318330063846735
2018-01-18,41.94198989868164,0.000893397895153,,,64.66600036621094,-0.0012972916415299,,,56.33290863037109,-0.0027476998616022,,,82.67854309082031,-0.0004433827363347,,,22.971332550048828,-0.0074605321638048,,,-0.002144262670049335
2018-01-19,41.75480651855469,-0.0044629112872118,,,64.72899627685547,0.0009741736041779,,,56.706321716308594,0.0066286846359675,,,82.58676147460938,-0.0011101020020408,,,23.334667205810547,0.015816873268893,,,0.0034017031796986104
2018-01-22,41.413204193115234,-0.0081811497626663,,,66.3655014038086,0.0252824116096834,,,57.73085403442383,0.0180673386512491,,,84.06414794921875,0.0178889019042547,,,23.437332153320312,0.0043996748101984,,,0.01018793285919781
2018-01-23,41.42255783081055,0.0002258612410597,,,68.12699890136719,0.0265423670476103,,,58.32643127441406,0.0103164460313562,,,84.33026123046875,0.0031655977933751,,,23.519332885742188,0.0034987229726255,,,0.00860281218958959
2018-01-24,40.76275634765625,-0.0159285548190731,,,67.87550354003906,-0.0036915667119321,,,58.08443069458008,-0.0041490722910068,,,84.25684356689453,-0.0008705968949103,,,23.05933380126953,-0.019558338950656,,,-0.0095925238297238
2018-01-25,40.035118103027344,-0.0178505653156288,,,68.89749908447266,0.0150569128939239,,,58.62248992919922,0.0092633986110386,,,84.7248764038086,0.0055548346828644,,,22.50933265686035,-0.0238515626318267,,,-0.0035356663518503794
2018-01-26,40.12868881225586,0.002337215766111,,,70.10250091552734,0.0174897760741254,,,58.89126968383789,0.0045849255970411,,,86.31232452392578,0.0187365055872283,,,22.856666564941406,0.0154306621780364,,,0.010895852549452575
2018-01-29,39.298095703125,-0.0206982369400812,,,70.88400268554688,0.0111479870163437,,,58.83770751953125,-0.0009095094161527,,,86.18389129638672,-0.0014880056613868,,,23.302000045776367,0.0194837457846119,,,0.0005466845927322608
2018-01-30,39.06644821166992,-0.0058946238312677,,,71.89099884033203,0.0142062541142373,,,58.38594436645508,-0.0076781229609635,,,85.10106658935547,-0.012564119474571,,,23.05466651916504,-0.0106142616996586,,,-0.004175499988279535
2018-01-31,39.17408752441406,0.0027552879176762,,,72.54450225830078,0.0090901980569244,,,58.62644958496094,0.004119231454001,,,87.18408966064453,0.0244770501096118,,,23.62066650390625,0.0245503436048706,,,0.01191233411902002
2018-02-01,39.2559814453125,0.0020905125319741,,,69.5,-0.0419673740052771,,,58.595211029052734,-0.0005328406568938,,,86.49588012695312,-0.0078937514444458,,,23.28333282470703,-0.0142812938467858,,,-0.012017736285464684
2018-02-02,37.55265426635742,-0.0433902584075749,,,71.49749755859375,0.0287409720660971,,,55.501277923583984,-0.0528018083924078,,,84.22014617919922,-0.0263103161030759,,,22.916667938232425,-0.0157479553822947,,,-0.02275587035907619
2018-02-05,36.61441040039063,-0.024984754987275,,,69.5,-0.0279380065988569,,,52.68406677246094,-0.0507593925134819,,,80.75151824951172,-0.0411852518316357,,,22.20866775512696,-0.0308945517303715,,,-0.034342366690106166
2018-02-06,38.14461135864258,0.0417923145974137,,,72.14199829101562,0.0380143638995054,,,53.77703475952149,0.0207457027146558,,,83.80721282958984,0.0378407074729718,,,22.264667510986328,0.0025215270216487,,,0.028380503497461178
2018-02-07,37.32803726196289,-0.0214073251134244,,,70.83899688720703,-0.0180616206187189,,,52.33793258666992,-0.0267605341069269,,,82.2288818359375,-0.0188328777483826,,,23.0,0.0330268794111041,,,-0.010535818003521828
2018-02-08,36.30089569091797,-0.0275166241352736,,,67.5250015258789,-0.0467820763555533,,,49.97248077392578,-0.0451957441923605,,,78.0078125,-0.0513331720156349,,,21.01533317565918,-0.0862898619278617,,,-0.05023266833131874
